Tournament Name,Date,Winner,Entrants,Sets Played,Original Link:,League Link
Freezie Friday #16 at Black Ice,02 April 2022,loaf,52,101,http://smash.gg/tournament/freezie-friday-16-at-black-ice/event/ultimate-singles,https://braacket.com/tournament/1F27B9A5-28A0-4C71-9191-AB690A07A1CD
Freezie Friday #17 at Black Ice,09 April 2022,loaf,39,76,http://smash.gg/tournament/freezie-friday-17-at-black-ice/event/ultimate-singles,https://braacket.com/tournament/B5571A75-E809-4977-A658-C6DF680E7AFD
Advantage State #30,14 April 2022,loaf,56,110,http://smash.gg/tournament/advantage-state-30/event/ultimate-singles,https://braacket.com/tournament/069C7911-5E84-4B93-A038-9DF6E6E6C3C4
Freeze Frame #5 at Black Ice,16 April 2022,Maya,62,122,http://smash.gg/tournament/freeze-frame-5-at-black-ice/event/ultimate-singles,https://braacket.com/tournament/0D0FF11F-86CC-4A30-8DA6-B835D1DCAE10
Advantage State #31,21 April 2022,loaf,46,88,http://smash.gg/tournament/advantage-state-31-4/event/ultimate-singles,https://braacket.com/tournament/4B0F419C-6D12-4012-AE8E-8B7FD5A74F05
Freezie Friday #18 at Black Ice,23 April 2022,loaf,34,66,http://smash.gg/tournament/freezie-friday-18-at-black-ice/event/ultimate-singles,https://braacket.com/tournament/191DFD1D-47E8-429D-B4EE-CD3969AECC15
Advantage State #32,28 April 2022,loaf,51,100,http://smash.gg/tournament/advantage-state-32/event/ultimate-singles,https://braacket.com/tournament/72820427-5543-443E-B9D9-F22B0CFBF1C0
Freezie Friday #19 at Black Ice,30 April 2022,loaf,42,79,http://smash.gg/tournament/freezie-friday-19-at-black-ice/event/ultimate-singles,https://braacket.com/tournament/DF25AFB2-7A73-49B6-A115-058F884CFDFE
Advantage State #33,05 May 2022,loaf,37,72,http://smash.gg/tournament/advantage-state-33/event/ultimate-singles,https://braacket.com/tournament/37BD93C6-7E0E-4825-AAA5-E33E42CAF028
Freezie Friday #20 at Black Ice,07 May 2022,loaf,45,88,http://smash.gg/tournament/freezie-friday-20-at-black-ice/event/ultimate-singles,https://braacket.com/tournament/C6A23013-A61C-45C8-8C08-D97E6A4A4C83
Advantage State #34,12 May 2022,thirty4,42,83,http://smash.gg/tournament/advantage-state-34/event/ultimate-singles,https://braacket.com/tournament/CCC5D739-4F08-4EF3-8497-5259DB7CF2F0
Freeze Frame #6 Battle of the Schools BRACKET,15 May 2022,Failbot,64,124,http://smash.gg/tournament/freeze-frame-6-battle-of-the-schools-bracket/event/ultimate-singles,https://braacket.com/tournament/2A2B2230-F272-4479-9422-34299CC3E9AA
Advantage State #35,19 May 2022,Maya,50,99,http://smash.gg/tournament/advantage-state-35/event/ultimate-singles,https://braacket.com/tournament/9A51870E-777C-45E0-B8A4-28249A8E5C9B
Freezie Friday #21 at Black Ice,21 May 2022,Maya,42,82,http://smash.gg/tournament/freezie-friday-21-at-black-ice/event/ultimate-singles,https://braacket.com/tournament/44F9A7A6-FE03-426D-8255-7FD1415E7ECA
Inver Grove Fights #26,23 May 2022,Failbot,24,45,http://smash.gg/tournament/inver-grove-fights-26/event/ultimate-singles,https://braacket.com/tournament/B1A70CDF-DE2F-4A4F-9FC2-5BD428C26476
Advantage State #36,26 May 2022,Erin,48,94,http://smash.gg/tournament/advantage-state-36/event/ultimate-singles,https://braacket.com/tournament/2BAAB849-BC8B-43B6-9799-CEF9693C52E2
